_id,Titles,Dates,Runtimes,Ratings
46,The Usual Suspects,1995,1h 46m,R
47,Casablanca,1942,1h 42m,PG
48,The Intouchables,2011,1h 52m,R
49,Cinema Paradiso,1988,2h 54m,PG
50,Modern Times,1936,1h 27m,G
51,Rear Window,1954,1h 52m,PG
52,Once Upon a Time in the West,1968,2h 46m,PG-13
53,Alien,1979,1h 57m,R
54,City Lights,1931,1h 27m,G
55,Apocalypse Now,1979,2h 27m,R
56,Django Unchained,2012,2h 45m,R
57,12th Fail,2023,2h 27m,9.0 (106K)Rate
58,Memento,2000,1h 53m,R
59,WALL·E,2008,1h 38m,G
60,Raiders of the Lost Ark,1981,1h 55m,PG
61,The Lives of Others,2006,2h 17m,R
62,Sunset Blvd.,1950,1h 50m,Passed
63,Paths of Glory,1957,1h 28m,Approved
64,Avengers: Infinity War,2018,2h 29m,PG-13
65,Spider-Man: Into the Spider-Verse,2018,1h 57m,PG
66,The Shining,1980,2h 26m,R
67,Witness for the Prosecution,1957,1h 56m,Approved
68,The Great Dictator,1940,2h 5m,G
69,Aliens,1986,2h 17m,R
70,Inglourious Basterds,2009,2h 33m,R
71,The Dark Knight Rises,2012,2h 44m,PG-13
72,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG
73,American Beauty,1999,2h 2m,R
74,Oldboy,2003,2h,R
75,Coco,2017,1h 45m,PG
76,Amadeus,1984,2h 40m,PG
77,Toy Story,1995,1h 21m,G
78,The Boat,1981,2h 29m,8.4 (263K)Rate
79,Braveheart,1995,2h 58m,R
80,Avengers: Endgame,2019,3h 1m,PG-13
81,Joker,2019,2h 2m,R
82,Princess Mononoke,1997,2h 14m,PG-13
83,Good Will Hunting,1997,2h 6m,R
84,Your Name.,2016,1h 46m,8.4 (317K)Rate
85,Once Upon a Time in America,1984,3h 49m,R
86,High and Low,1963,2h 23m,Not Rated
87,3 Idiots,2009,2h 50m,PG-13
88,Singin' in the Rain,1952,1h 43m,G
89,Oppenheimer,2023,3h,R
90,Capernaum,2018,2h 6m,R
91,Requiem for a Dream,2000,1h 42m,Unrated
92,Come and See,1985,2h 22m,Not Rated
93,Toy Story 3,2010,1h 43m,G
94,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG
95,Eternal Sunshine of the Spotless Mind,2004,1h 48m,R
96,The Hunt,2012,1h 55m,R
97,2001: A Space Odyssey,1968,2h 29m,G
98,Reservoir Dogs,1992,1h 39m,R
99,Ikiru,1952,2h 23m,Not Rated
100,Lawrence of Arabia,1962,3h 38m,Approved
101,The Apartment,1960,2h 5m,Approved
102,North by Northwest,1959,2h 16m,Approved
103,Citizen Kane,1941,1h 59m,PG
104,Vertigo,1958,2h 8m,PG
105,M,1931,1h 39m,Passed
106,Incendies,2010,2h 11m,R
107,Double Indemnity,1944,1h 47m,Passed
108,Scarface,1983,2h 50m,18+
109,Amélie,2001,2h 2m,R
110,Full Metal Jacket,1987,1h 56m,R
111,A Clockwork Orange,1971,2h 16m,X
112,Heat,1995,2h 50m,R
113,Up,2009,1h 36m,PG
114,To Kill a Mockingbird,1962,2h 9m,Approved
115,The Sting,1973,2h 9m,PG
116,A Separation,2011,2h 3m,PG-13
117,Indiana Jones and the Last Crusade,1989,2h 7m,PG-13
118,Die Hard,1988,2h 12m,R
119,Metropolis,1927,2h 33m,Not Rated
120,Like Stars on Earth,2007,2h 42m,PG
121,Hamilton,2020,2h 40m,PG-13
122,Snatch,2000,1h 42m,R
123,L.A. Confidential,1997,2h 18m,R
124,Bicycle Thieves,1948,1h 29m,Not Rated
125,1917,2019,1h 59m,R
126,Taxi Driver,1976,1h 54m,R
127,Downfall,2004,2h 36m,R
128,Dangal,2016,2h 41m,Not Rated
129,For a Few Dollars More,1965,2h 12m,R
130,Batman Begins,2005,2h 20m,PG-13
131,The Wolf of Wall Street,2013,3h,R
132,Some Like It Hot,1959,2h 1m,Passed
133,The Kid,1921,1h 8m,Passed
134,Green Book,2018,2h 10m,PG-13
135,The Father,2020,1h 37m,PG-13
136,Judgment at Nuremberg,1961,2h 59m,Approved
137,All About Eve,1950,2h 18m,Passed
138,Top Gun: Maverick,2022,2h 10m,PG-13
139,The Truman Show,1998,1h 43m,PG
140,Shutter Island,2010,2h 18m,R
141,There Will Be Blood,2007,2h 38m,R
142,Casino,1995,2h 58m,R
143,Ran,1985,2h 40m,R
144,Jurassic Park,1993,2h 7m,PG-13
145,The Sixth Sense,1999,1h 47m,PG-13
146,Pan's Labyrinth,2006,1h 58m,R
147,Unforgiven,1992,2h 10m,R
148,No Country for Old Men,2007,2h 2m,R
149,A Beautiful Mind,2001,2h 15m,PG-13
150,The Thing,1982,1h 49m,R
151,The Treasure of the Sierra Madre,1948,2h 6m,Passed
152,Kill Bill: Vol. 1,2003,1h 51m,R
153,Yojimbo,1961,1h 50m,Not Rated
154,Monty Python and the Holy Grail,1975,1h 31m,PG
155,The Great Escape,1963,2h 52m,Approved
156,Finding Nemo,2003,1h 40m,G
157,Rashomon,1950,1h 28m,Not Rated
158,Prisoners,2013,2h 33m,R
159,Howl's Moving Castle,2004,1h 59m,PG
160,The Elephant Man,1980,2h 4m,PG
161,Chinatown,1974,2h 10m,R
162,Dial M for Murder,1954,1h 45m,PG
163,Gone with the Wind,1939,3h 58m,Passed
164,V for Vendetta,2005,2h 12m,R
165,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R
166,The Secret in Their Eyes,2009,2h 9m,R
167,Inside Out,2015,1h 35m,PG
168,Raging Bull,1980,2h 9m,R
169,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R
170,Trainspotting,1996,1h 33m,R
171,The Bridge on the River Kwai,1957,2h 41m,PG
172,Spider-Man: No Way Home,2021,2h 28m,PG-13
173,Fargo,1996,1h 38m,R
174,Klaus,2019,1h 36m,PG
